Unnamed: 0,Team,Player,Allstars,College,Play_Yrs,Games,Year,Pick,Player_ID,Season_ID,Conference,League_ID,Games_Played,Minutes,Points,O_Rebounds,D_Rebounds,Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,FG_Attempted,FG_Made,FT_Attempted,FT_Made,Three_Attempted,Three_Made
53.0,PIT,Herman Knoche,False,Washington & Jefferson College,,,1947.0,53.0,,,,,,,,,,,,,,,,,,,,,
54.0,PIT,Fritz Nagy,False,University of Akron,1.0,50.0,1947.0,54.0,,,,,,,,,,,,,,,,,,,,,
55.0,PIT,Jack Walton,False,DePaul University,,,1947.0,55.0,,,,,,,,,,,,,,,,,,,,,
56.0,PRO,Joe Barry,False,,,,1947.0,56.0,,,,,,,,,,,,,,,,,,,,,
57.0,PRO,Dick Furey,False,University of St. Thomas,,,1947.0,57.0,,,,,,,,,,,,,,,,,,,,,
58.0,PRO,Bob Hubbard,False,Springfield College,2.0,62.0,1947.0,58.0,,,,,,,,,,,,,,,,,,,,,
59.0,PRO,Bob Joyce,False,Bates College,,,1947.0,59.0,,,,,,,,,,,,,,,,,,,,,
60.0,PRO,Roy Lipscomb,False,St. Mary's College of Maryland,,,1947.0,60.0,,,,,,,,,,,,,,,,,,,,,
61.0,PRO,John Mills,False,Hofstra University,,,1947.0,61.0,,,,,,,,,,,,,,,,,,,,,
62.0,PRO,Al Nichols,False,University of Rhode Island,,,1947.0,62.0,,,,,,,,,,,,,,,,,,,,,
63.0,STB,Jack Knopf,False,University of Louisville,,,1947.0,63.0,,,,,,,,,,,,,,,,,,,,,
64.0,STB,Bob Kurland,False,Oklahoma State University,,,1947.0,64.0,,,,,,,,,,,,,,,,,,,,,
65.0,STB,Paul Napolitano,False,University of San Francisco,1.0,1.0,1947.0,65.0,,,,,,,,,,,,,,,,,,,,,
67.0,STB,Bill Strannigan,False,University of Wyoming,,,1947.0,67.0,,,,,,,,,,,,,,,,,,,,,
68.0,STB,Herb Wilkinson,False,University of Iowa,,,1947.0,68.0,,,,,,,,,,,,,,,,,,,,,
69.0,TRH,Frank Broyles,False,Georgia Institute of Technology,,,1947.0,69.0,,,,,,,,,,,,,,,,,,,,,
70.0,TRH,Paul Hoffman,False,Purdue University,6.0,317.0,1947.0,70.0,,,,,,,,,,,,,,,,,,,,,
3226.0,BUF,Paul Hoffman,False,St. Bonaventure University,,,1972.0,189.0,,,,,,,,,,,,,,,,,,,,,
71.0,TRH,Wimpy Quinn,False,University of Oregon,,,1947.0,71.0,,,,,,,,,,,,,,,,,,,,,
72.0,TRH,Red Rocha,True,Oregon State University,9.0,586.0,1947.0,72.0,rochare01,1950.0,East,NBA,1.0,0.0,8.0,,,2.0,3.0,,,,,10.0,2.0,4.0,4.0,,
72.0,TRH,Red Rocha,True,Oregon State University,9.0,586.0,1947.0,72.0,rochare01,1951.0,East,NBA,1.0,28.0,12.0,,,5.0,2.0,,,,,11.0,5.0,2.0,2.0,,
